Q.No,Q_ID,Key,Type,Marks
1,22848211137,C,MCQ,1
2,22848211138,C,MCQ,1
3,22848211139,B,MCQ,1
4,22848211140,D,MCQ,1
5,22848211141,C,MCQ,1
6,22848211142,B,MCQ,2
7,22848211143,C,MCQ,2
8,22848211144,C,MCQ,2
9,22848211145,C,MCQ,2
10,22848211146,C,MCQ,2
11,22848211147,D,MCQ,1
12,22848211148,D,MCQ,1
13,22848211149,A,MCQ,1
14,22848211150,D,MCQ,1
15,22848211151,C,MCQ,1
16,22848211152,A,MCQ,1
17,22848211153,A,MCQ,1
18,22848211154,A,MCQ,1
19,22848211155,"A, B, D",MSQ,1
20,22848211156,"A, C",MSQ,1
21,22848211157,"B, C",MSQ,1
22,22848211158,"B, C",MSQ,1
23,22848211159,"A, B",MSQ,1
24,22848211160,D,MSQ,1
25,22848211161,"B, C",MSQ,1
26,22848211162,"A, C",MSQ,1
27,22848211163,C,MSQ,1
28,22848211164,D,MSQ,1
29,22848211165,"B, C",MSQ,1
30,22848211166,"A, D",MSQ,1
31,22848211167,"A, B, C",MSQ,1
32,22848211168,3 to 3,NAT,1
33,22848211169,11 to 11,NAT,1
34,22848211170,9 to 9,NAT,1
35,22848211171,6 to 6,NAT,1
36,22848211172,A,MCQ,2
37,22848211173,D,MCQ,2
38,22848211174,D,MCQ,2
39,22848211175,B,MCQ,2
40,22848211176,B,MCQ,2
41,22848211177,D,MCQ,2
42,22848211178,C,MCQ,2
43,22848211179,C,MCQ,2
44,22848211180,D,MCQ,2
45,22848211181,B,MCQ,2
46,22848211182,"A, B, C",MSQ,2
47,22848211183,D,MSQ,2
48,22848211184,"A, B",MSQ,2
49,22848211185,"C, D",MSQ,2
50,22848211186,B,MSQ,2
51,22848211187,"A, B",MSQ,2
52,22848211188,"A, B",MSQ,2
53,22848211189,"B, C, D",MSQ,2
54,22848211190,"C, D",MSQ,2
55,22848211191,"B, D",MSQ,2
56,22848211192,"A, C",MSQ,2
57,22848211193,34 to 34,NAT,2
58,22848211194,4.24 to 4.26,NAT,2
59,22848211195,77.3 to 77.3,NAT,2
60,22848211196,95 to 95,NAT,2
61,22848211197,65536 to 65536,NAT,2
62,22848211198,7 to 7,NAT,2
63,22848211199,4 to 4,NAT,2
64,22848211200,9.5 to 9.5,NAT,2
65,22848211201,6 to 6,NAT,2
