Type,Key,Marks,Q.No,Q_ID
MCQ,A,1,1,22848211137
MCQ,A,1,2,22848211138
MCQ,A,1,3,22848211139
MCQ,A,1,4,22848211140
MCQ,A,1,5,22848211141
MCQ,D,2,6,22848211142
MCQ,C,2,7,22848211143
MCQ,C,2,8,22848211144
MCQ,A,2,9,22848211145
MCQ,D,2,10,22848211146
MCQ,A,1,11,22848211147
MCQ,D,1,12,22848211148
MCQ,B,1,13,22848211149
MCQ,A,1,14,22848211150
MCQ,B,1,15,22848211151
MCQ,C,1,16,22848211152
MCQ,B,1,17,22848211153
MCQ,A,1,18,22848211154
MSQ,A;B;D,1,19,22848211155
MSQ,B,1,20,22848211156
MSQ,B;D,1,21,22848211157
MSQ,C;D,1,22,22848211158
MSQ,A;D,1,23,22848211159
MSQ,C,1,24,22848211160
MSQ,A;C;D,1,25,22848211161
MSQ,B;C,1,26,22848211162
MSQ,C,1,27,22848211163
MSQ,A,1,28,22848211164
MSQ,A;D,1,29,22848211165
MSQ,A;B,1,30,22848211166
MSQ,A;C;D,1,31,22848211167
NAT,3 to 3,1,32,22848211168
NAT,11 to 11,1,33,22848211169
NAT,9 to 9,1,34,22848211170
NAT,6 to 6,1,35,22848211171
MCQ,C,2,36,22848211172
MCQ,C,2,37,22848211173
MCQ,C,2,38,22848211174
MCQ,C,2,39,22848211175
MCQ,B,2,40,22848211176
MCQ,A,2,41,22848211177
MCQ,A,2,42,22848211178
MCQ,D,2,43,22848211179
MCQ,B,2,44,22848211180
MCQ,A,2,45,22848211181
MSQ,A;B;D,2,46,22848211182
MSQ,C,2,47,22848211183
MSQ,B;C;D,2,48,22848211184
MSQ,A;B;C;D,2,49,22848211185
MSQ,B;D,2,50,22848211186
MSQ,B;C,2,51,22848211187
MSQ,B;D,2,52,22848211188
MSQ,A;B;D,2,53,22848211189
MSQ,B;D,2,54,22848211190
MSQ,A;B,2,55,22848211191
MSQ,B;C,2,56,22848211192
NAT,34 to 34,2,57,22848211193
NAT,4.24 to 4.26,2,58,22848211194
NAT,77.3 to 77.3,2,59,22848211195
NAT,95 to 95,2,60,22848211196
NAT,65536 to 65536,2,61,22848211197
NAT,7 to 7,2,62,22848211198
NAT,4 to 4,2,63,22848211199
NAT,9.5 to 9.5,2,64,22848211200
NAT,6 to 6,2,65,22848211201
